,time,date,pm,year,day
0,58,2019-03-01,7.8,2019,03-01
1,59,2019-03-02,10.2,2019,03-02
2,60,2019-03-03,9.2,2019,03-03
3,61,2019-03-04,8.4,2019,03-04
4,62,2019-03-05,8.9,2019,03-05
5,63,2019-03-06,10.1,2019,03-06
6,64,2019-03-07,10.1,2019,03-07
7,65,2019-03-08,10.1,2019,03-08
8,66,2019-03-09,13.5,2019,03-09
9,67,2019-03-10,8.2,2019,03-10
10,68,2019-03-11,8.2,2019,03-11
11,69,2019-03-12,8.1,2019,03-12
12,70,2019-03-13,10.6,2019,03-13
13,71,2019-03-15,12.6,2019,03-15
14,72,2019-03-16,4.2,2019,03-16
15,73,2019-03-17,3.6,2019,03-17
16,74,2019-03-18,5.6,2019,03-18
17,75,2019-03-19,7.0,2019,03-19
18,76,2019-03-20,9.8,2019,03-20
19,77,2019-03-21,4.5,2019,03-21
20,78,2019-03-22,3.6,2019,03-22
21,79,2019-03-23,6.3,2019,03-23
22,80,2019-03-24,5.6,2019,03-24
23,81,2019-03-25,6.8,2019,03-25
24,82,2019-03-26,3.6,2019,03-26
25,83,2019-03-27,7.0,2019,03-27
26,84,2019-03-28,6.7,2019,03-28
27,85,2019-03-29,12.2,2019,03-29
28,86,2019-03-30,11.0,2019,03-30
29,87,2019-03-31,9.1,2019,03-31
30,88,2019-04-01,5.2,2019,04-01
31,89,2019-04-02,3.9,2019,04-02
32,90,2019-04-04,3.1,2019,04-04
33,91,2019-04-05,4.2,2019,04-05
34,92,2019-04-06,4.9,2019,04-06
35,93,2019-04-07,7.7,2019,04-07
36,94,2019-04-08,8.5,2019,04-08
37,95,2019-04-09,5.6,2019,04-09
38,96,2019-04-10,2.7,2019,04-10
39,97,2019-04-11,4.0,2019,04-11
40,98,2019-04-12,6.8,2019,04-12
41,99,2019-04-13,9.0,2019,04-13
42,100,2019-04-14,5.1,2019,04-14
43,101,2019-04-15,3.4,2019,04-15
44,102,2019-04-16,3.3,2019,04-16
45,103,2019-04-17,3.4,2019,04-17
46,104,2019-04-18,6.8,2019,04-18
47,105,2019-04-19,9.4,2019,04-19
48,106,2019-04-23,6.6,2019,04-23
49,107,2019-04-25,3.7,2019,04-25
50,108,2019-04-26,1.0,2019,04-26
51,109,2019-04-27,1.8,2019,04-27
52,110,2019-04-28,3.2,2019,04-28
53,111,2019-04-29,2.7,2019,04-29
54,112,2019-04-30,6.2,2019,04-30
0,58,2020-03-01,7.2,2020,03-01
1,59,2020-03-02,13.5,2020,03-02
2,60,2020-03-03,11.7,2020,03-03
3,61,2020-03-04,6.2,2020,03-04
4,62,2020-03-05,6.5,2020,03-05
5,63,2020-03-06,5.6,2020,03-06
6,64,2020-03-07,5.2,2020,03-07
7,65,2020-03-08,6.4,2020,03-08
8,66,2020-03-09,11.5,2020,03-09
9,67,2020-03-10,11.5,2020,03-10
10,68,2020-03-11,5.7,2020,03-11
11,69,2020-03-12,5.9,2020,03-12
12,70,2020-03-13,5.5,2020,03-13
13,71,2020-03-14,5.2,2020,03-14
14,72,2020-03-15,4.4,2020,03-15
15,73,2020-03-16,4.4,2020,03-16
16,74,2020-03-17,6.5,2020,03-17
17,75,2020-03-18,6.3,2020,03-18
18,76,2020-03-19,4.3,2020,03-19
19,77,2020-03-20,9.5,2020,03-20
20,78,2020-03-21,4.5,2020,03-21
21,79,2020-03-22,5.8,2020,03-22
22,80,2020-03-23,2.1,2020,03-23
23,81,2020-03-24,4.2,2020,03-24
24,82,2020-03-25,5.4,2020,03-25
25,83,2020-03-26,6.7,2020,03-26
26,84,2020-03-27,6.2,2020,03-27
27,85,2020-03-28,5.0,2020,03-28
28,86,2020-03-29,1.7,2020,03-29
29,87,2020-03-30,5.2,2020,03-30
30,88,2020-03-31,2.2,2020,03-31
31,89,2020-04-01,4.0,2020,04-01
32,90,2020-04-02,3.0,2020,04-02
33,91,2020-04-03,2.3,2020,04-03
34,92,2020-04-04,2.9,2020,04-04
35,93,2020-04-05,9.4,2020,04-05
36,94,2020-04-06,3.6,2020,04-06
37,95,2020-04-07,5.3,2020,04-07
38,96,2020-04-08,8.3,2020,04-08
39,97,2020-04-09,4.2,2020,04-09
40,98,2020-04-10,4.1,2020,04-10
41,99,2020-04-11,4.6,2020,04-11
42,100,2020-04-12,8.1,2020,04-12
43,101,2020-04-13,5.0,2020,04-13
44,102,2020-04-14,5.3,2020,04-14
45,103,2020-04-15,4.7,2020,04-15
46,104,2020-04-16,5.5,2020,04-16
47,105,2020-04-17,5.9,2020,04-17
48,106,2020-04-18,3.5,2020,04-18
49,107,2020-04-19,7.4,2020,04-19
50,108,2020-04-20,3.8,2020,04-20
51,109,2020-04-21,5.0,2020,04-21
52,110,2020-04-22,4.6,2020,04-22
53,111,2020-04-23,6.9,2020,04-23
54,112,2020-04-24,4.6,2020,04-24
55,113,2020-04-25,6.6,2020,04-25
56,114,2020-04-26,2.9,2020,04-26
57,115,2020-04-27,1.0,2020,04-27
58,116,2020-04-28,4.3,2020,04-28
59,117,2020-04-29,5.3,2020,04-29
60,118,2020-04-30,4.6,2020,04-30
