,date,count
0,03/01/2019,28691
1,03/02/2019,29234
2,03/03/2019,28836
3,03/04/2019,29067
4,03/05/2019,29234
5,03/06/2019,29513
6,03/07/2019,29425
7,03/08/2019,28678
8,03/09/2019,28897
9,03/10/2019,26337
10,03/11/2019,28935
11,03/12/2019,28991
12,03/13/2019,29875
13,03/14/2019,29864
14,03/15/2019,28893
15,03/16/2019,28865
16,03/17/2019,28903
17,03/18/2019,29062
18,03/19/2019,28929
19,03/20/2019,28950
20,03/21/2019,29028
21,03/22/2019,28985
22,03/23/2019,29229
23,03/24/2019,28989
24,03/25/2019,29397
25,03/26/2019,28924
26,03/27/2019,28925
27,03/28/2019,28911
28,03/29/2019,30220
29,03/30/2019,28919
30,03/31/2019,28944
